impression_id,hour_of_day,day_of_week,device_type,vertical,user_recency_days,true_pcvr,estimated_pcvr,floor_price,bid,won,clearing_price,converted,cumulative_spend,cumulative_conversions,cumulative_wins,participation_rate,shade_factor,landscape_win_prob
3015,8,3,mobile,finance,1.86,0.04166,0.05293,0.5329,2.6466,False,0.0,False,0.0,0,0,1.0,0.15,
3016,8,4,mobile,e-commerce,12.97,0.04247,0.05574,0.5145,2.7869,False,0.0,False,0.0,0,0,1.0,0.15,
3017,18,0,mobile,e-commerce,1.39,0.04639,0.05375,0.4032,2.6877,False,0.0,False,0.0,0,0,1.0,0.15,
3018,13,6,tablet,auto,10.23,0.02135,0.02709,0.6065,1.3543,False,0.0,False,0.0,0,0,1.0,0.15,
3019,12,6,desktop,finance,1.75,0.04258,0.0516,0.5613,2.5802,False,0.0,False,0.0,0,0,1.0,0.15,
3020,14,5,tablet,e-commerce,0.27,0.05175,0.05995,0.4215,2.9973,False,0.0,False,0.0,0,0,1.0,0.15,
3021,13,6,desktop,e-commerce,5.15,0.04829,0.05625,0.4813,2.8124,False,0.0,False,0.0,0,0,1.0,0.15,
3022,10,5,mobile,auto,6.65,0.02824,0.03503,0.4499,1.7517,False,0.0,False,0.0,0,0,1.0,0.15,
3023,9,2,mobile,e-commerce,1.39,0.05493,0.06718,0.4262,3.359,False,0.0,False,0.0,0,0,1.0,0.15,
3024,19,5,desktop,telecom,2.48,0.0422,0.04518,0.4826,2.2592,False,0.0,False,0.0,0,0,1.0,0.15,
3025,19,2,mobile,e-commerce,6.82,0.03772,0.04647,0.4977,2.3235,False,0.0,False,0.0,0,0,1.0,0.15,
3026,14,1,mobile,finance,2.97,0.03258,0.04219,0.3075,2.1097,False,0.0,False,0.0,0,0,1.0,0.15,
3027,23,2,tablet,telecom,17.54,0.02834,0.03141,0.62,1.5706,False,0.0,False,0.0,0,0,1.0,0.15,
3028,1,1,desktop,finance,5.99,0.0368,0.04284,0.4941,2.1421,False,0.0,False,0.0,0,0,1.0,0.15,
3029,11,5,mobile,telecom,7.14,0.0365,0.04482,0.4017,2.2411,False,0.0,False,0.0,0,0,1.0,0.15,
3030,0,6,mobile,finance,11.13,0.02608,0.03806,0.4506,1.9032,False,0.0,False,0.0,0,0,1.0,0.15,
3031,2,6,mobile,e-commerce,2.09,0.05234,0.06132,0.6078,3.0659,False,0.0,False,0.0,0,0,1.0,0.15,
3032,1,4,desktop,e-commerce,1.1,0.05838,0.06778,0.4379,3.389,False,0.0,False,0.0,0,0,1.0,0.15,
3033,7,5,desktop,auto,0.51,0.04643,0.0474,0.6249,2.3701,False,0.0,False,0.0,0,0,1.0,0.15,
3034,23,0,mobile,e-commerce,0.2,0.05314,0.06256,0.5543,3.1281,False,0.0,False,0.0,0,0,1.0,0.15,
3035,11,3,mobile,finance,4.2,0.03428,0.04632,0.4304,2.3162,False,0.0,False,0.0,0,0,1.0,0.15,
3036,11,6,desktop,e-commerce,1.27,0.05797,0.06792,0.3342,3.3958,False,0.0,False,0.0,0,0,1.0,0.15,
3037,23,0,desktop,auto,1.47,0.03791,0.03589,0.4924,1.7944,False,0.0,False,0.0,0,0,1.0,0.15,
3038,13,1,desktop,auto,4.41,0.03235,0.03343,0.408,1.6716,False,0.0,False,0.0,0,0,1.0,0.15,
3039,20,3,desktop,finance,2.0,0.0377,0.0453,0.5976,2.2651,False,0.0,False,0.0,0,0,1.0,0.15,
3040,7,3,mobile,finance,10.24,0.03146,0.04424,0.4464,2.2119,False,0.0,False,0.0,0,0,1.0,0.15,
3041,10,5,mobile,e-commerce,5.84,0.04619,0.05886,0.387,2.9431,False,0.0,False,0.0,0,0,1.0,0.15,
3042,13,3,desktop,finance,5.38,0.03498,0.04502,0.489,2.2509,False,0.0,False,0.0,0,0,1.0,0.15,
3043,7,2,mobile,finance,9.07,0.03231,0.0436,0.4383,2.1799,False,0.0,False,0.0,0,0,1.0,0.15,
3044,17,2,mobile,auto,4.51,0.02367,0.0296,0.1555,1.4798,False,0.0,False,0.0,0,0,1.0,0.15,
3045,0,2,desktop,telecom,0.56,0.05145,0.05266,0.631,2.6332,False,0.0,False,0.0,0,0,1.0,0.15,
3046,1,6,mobile,e-commerce,1.97,0.05138,0.05991,0.5055,2.9953,False,0.0,False,0.0,0,0,1.0,0.15,
3047,19,1,desktop,telecom,12.89,0.03134,0.03515,0.5512,1.7576,False,0.0,False,0.0,0,0,1.0,0.15,
3048,16,2,desktop,telecom,2.48,0.04271,0.04449,0.6389,2.2246,False,0.0,False,0.0,0,0,1.0,0.15,
3049,14,1,mobile,auto,2.97,0.02858,0.03231,0.5149,1.6156,False,0.0,False,0.0,0,0,1.0,0.15,
3050,12,3,tablet,telecom,0.96,0.04543,0.04741,0.5804,2.3704,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3051,17,6,desktop,auto,8.16,0.02441,0.02966,0.4623,1.4831,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3052,10,1,mobile,finance,1.69,0.04021,0.04945,0.3746,2.4725,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3053,10,1,mobile,finance,14.87,0.02689,0.03884,0.4887,1.9419,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3054,14,5,tablet,auto,1.91,0.03073,0.03257,0.5902,1.6287,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3055,22,6,desktop,e-commerce,13.22,0.04052,0.04695,0.4909,2.3477,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3056,22,3,mobile,telecom,0.72,0.04354,0.04845,0.3245,2.4227,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3057,10,4,mobile,finance,2.33,0.03885,0.05134,0.3011,2.5671,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3058,5,6,tablet,telecom,4.73,0.04301,0.04367,0.5049,2.1836,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3059,17,4,desktop,auto,2.27,0.03264,0.03522,0.5349,1.7608,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3060,11,5,desktop,auto,4.31,0.0351,0.03781,0.4701,1.8907,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3061,14,6,mobile,e-commerce,1.75,0.04808,0.05819,0.4441,2.9095,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3062,2,1,mobile,auto,1.87,0.03581,0.03614,0.6465,1.8068,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3063,22,1,mobile,telecom,0.05,0.04536,0.04955,0.4797,2.4775,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3064,5,5,desktop,auto,2.61,0.0416,0.04165,0.5015,2.0823,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3065,6,3,desktop,telecom,1.68,0.05373,0.05734,0.5282,2.8671,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3066,20,6,desktop,finance,5.26,0.03211,0.04094,0.5472,2.0471,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3067,4,3,mobile,finance,18.45,0.02776,0.03994,0.5033,1.9971,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3068,2,4,tablet,telecom,5.04,0.04024,0.04182,0.4374,2.0909,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3069,0,2,mobile,finance,0.06,0.04182,0.05182,0.4221,2.591,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3070,12,3,mobile,e-commerce,28.57,0.03534,0.04573,0.3646,2.2865,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3071,5,1,mobile,telecom,6.27,0.041,0.04539,0.7436,2.2695,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3072,11,2,desktop,e-commerce,14.34,0.04387,0.05201,0.4671,2.6004,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3073,6,4,mobile,telecom,3.13,0.0458,0.05251,0.6794,2.6256,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3074,18,0,tablet,finance,1.98,0.03208,0.03785,0.4677,1.8923,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3075,23,2,mobile,e-commerce,10.34,0.03827,0.047,0.5527,2.35,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3076,13,4,mobile,finance,1.93,0.0359,0.04843,0.4812,2.4213,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3077,20,2,mobile,auto,6.08,0.02207,0.0284,0.4103,1.4202,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3078,13,4,mobile,telecom,1.86,0.04203,0.04921,0.535,2.4606,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3079,12,2,mobile,auto,8.69,0.02378,0.03093,0.5871,1.5463,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3080,20,4,mobile,auto,13.1,0.01675,0.02735,0.6115,1.3673,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3081,13,4,mobile,e-commerce,7.46,0.04059,0.05334,0.4461,2.6668,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3082,7,6,desktop,telecom,0.71,0.0559,0.06027,0.547,3.0136,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3083,3,5,desktop,e-commerce,8.5,0.04948,0.05803,0.7189,2.9017,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3084,19,3,desktop,finance,1.92,0.03738,0.04527,0.4157,2.2634,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3085,21,4,tablet,telecom,2.38,0.0387,0.03995,0.6468,1.9976,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3086,3,3,mobile,e-commerce,2.33,0.05288,0.06376,0.6201,3.1881,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3087,2,1,desktop,telecom,2.64,0.04921,0.04888,0.4039,2.4441,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3088,1,3,desktop,telecom,2.23,0.04884,0.05044,0.4864,2.5218,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3089,16,4,mobile,e-commerce,0.82,0.04847,0.06072,0.6896,3.0358,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3090,4,0,mobile,auto,3.6,0.03428,0.03573,0.5127,1.7866,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3091,20,0,desktop,telecom,2.81,0.04206,0.04256,0.4791,2.1278,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3092,3,0,mobile,e-commerce,0.26,0.05779,0.06949,0.583,3.4746,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3093,17,6,desktop,e-commerce,3.49,0.04732,0.0536,0.4035,2.6801,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3094,13,1,mobile,finance,1.8,0.03618,0.04549,0.4558,2.2747,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3095,22,4,desktop,auto,2.06,0.03541,0.0363,0.4839,1.8151,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3096,13,3,desktop,auto,4.14,0.03277,0.03541,0.5847,1.7704,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3097,8,5,mobile,telecom,5.53,0.04141,0.04879,0.695,2.4395,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3098,3,1,desktop,finance,5.85,0.03921,0.04529,0.3753,2.2643,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3099,9,3,mobile,finance,1.58,0.0415,0.05304,0.6054,2.652,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3100,2,4,tablet,auto,4.75,0.03065,0.03175,0.4499,1.5873,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3101,17,0,mobile,telecom,1.5,0.03932,0.04312,0.4126,2.1561,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3102,3,2,desktop,auto,14.74,0.02897,0.03138,0.6016,1.5691,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3103,0,3,desktop,auto,1.93,0.03818,0.0375,0.5111,1.8751,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3104,12,2,mobile,finance,12.42,0.02539,0.03849,0.4034,1.9245,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3105,22,4,mobile,auto,0.79,0.03337,0.03714,0.5244,1.8571,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3106,22,5,mobile,auto,9.04,0.02099,0.02926,0.4869,1.4629,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3107,4,6,mobile,finance,2.04,0.04126,0.05074,0.4928,2.5372,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3108,4,6,desktop,e-commerce,0.78,0.06222,0.0724,0.4532,3.6199,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3109,19,6,desktop,auto,0.14,0.03776,0.03881,0.5788,1.9404,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3110,15,0,mobile,telecom,1.58,0.04042,0.04461,0.4441,2.2305,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3111,7,2,desktop,finance,0.19,0.0513,0.06126,0.4746,3.0631,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3112,21,4,desktop,telecom,5.84,0.03815,0.04211,0.7192,2.1054,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3113,20,5,mobile,telecom,5.76,0.03246,0.03941,0.3197,1.9705,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3114,5,1,desktop,e-commerce,8.38,0.05088,0.05734,0.3522,2.8671,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3115,13,1,mobile,finance,0.45,0.03946,0.04972,0.4604,2.4862,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3116,11,6,mobile,finance,0.1,0.043,0.05649,0.7212,2.8243,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3117,5,0,mobile,telecom,11.87,0.0365,0.04206,0.507,2.103,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3118,20,0,desktop,finance,8.09,0.02896,0.03768,0.5262,1.8842,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3119,0,6,mobile,auto,2.69,0.03162,0.03413,0.4688,1.7066,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3120,11,4,mobile,telecom,2.16,0.04398,0.05135,0.659,2.5676,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3121,16,2,desktop,e-commerce,8.75,0.0414,0.04839,0.4733,2.4194,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3122,16,2,mobile,auto,3.54,0.02573,0.03088,0.5052,1.5442,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3123,17,0,desktop,auto,4.86,0.02816,0.03052,0.5829,1.5258,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3124,19,1,desktop,auto,11.65,0.02195,0.02687,0.7112,1.3436,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3125,6,3,mobile,finance,0.42,0.04583,0.0583,0.3531,2.9151,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3126,6,1,desktop,e-commerce,2.91,0.0582,0.06518,0.6749,3.2592,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3127,18,3,mobile,telecom,2.89,0.03623,0.04191,0.6328,2.0953,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3128,16,1,mobile,auto,5.56,0.02271,0.02877,0.6783,1.4387,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3129,17,2,mobile,auto,13.72,0.01599,0.0259,0.5187,1.2952,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3130,19,0,mobile,auto,5.23,0.02264,0.02838,0.4846,1.419,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3131,13,0,desktop,finance,3.2,0.03837,0.04602,0.455,2.3011,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3132,23,6,desktop,e-commerce,5.56,0.04774,0.05334,0.5888,2.6672,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3133,16,1,desktop,e-commerce,1.24,0.05241,0.05796,0.578,2.898,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3134,16,0,tablet,telecom,1.68,0.03941,0.03949,0.6852,1.9743,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3135,2,4,desktop,e-commerce,2.49,0.05651,0.06513,0.6013,3.2566,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3136,1,1,mobile,auto,8.81,0.02498,0.02969,0.4608,1.4844,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3137,5,1,desktop,auto,2.57,0.04168,0.0392,0.363,1.9598,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3138,9,5,desktop,e-commerce,0.31,0.06266,0.078,0.5195,3.9002,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3139,14,5,tablet,telecom,5.74,0.03431,0.0384,0.6052,1.9199,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3140,3,6,desktop,auto,0.38,0.04547,0.04448,0.6526,2.224,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3141,19,1,mobile,e-commerce,8.59,0.03604,0.04429,0.5919,2.2143,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3142,22,5,mobile,e-commerce,0.68,0.05065,0.0613,0.5758,3.0651,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3143,21,2,mobile,e-commerce,0.11,0.05115,0.06159,0.5169,3.0797,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3144,11,2,tablet,finance,3.26,0.03585,0.04203,0.5412,2.1013,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3145,13,0,mobile,auto,2.63,0.03044,0.03386,0.5012,1.6929,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3146,10,2,mobile,finance,8.33,0.03059,0.04251,0.5605,2.1253,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3147,12,4,mobile,auto,12.33,0.02143,0.03119,0.3999,1.5595,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3148,23,4,desktop,e-commerce,3.73,0.05045,0.05758,0.2618,2.8789,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3149,17,5,desktop,finance,2.64,0.03588,0.04553,0.4959,2.2765,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3150,6,3,desktop,finance,0.62,0.05029,0.06025,0.6638,3.0125,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3151,0,5,mobile,finance,3.07,0.03489,0.0453,0.476,2.2651,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3152,14,3,mobile,finance,5.79,0.02824,0.04119,0.6729,2.0597,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3153,22,5,desktop,telecom,1.24,0.04726,0.04967,0.5232,2.4833,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3154,13,3,desktop,e-commerce,0.7,0.0568,0.06788,0.5115,3.3941,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3155,0,3,mobile,auto,0.98,0.03539,0.03776,0.4991,1.8879,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3156,12,1,desktop,telecom,4.46,0.04357,0.04571,0.5603,2.2855,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3157,5,6,tablet,auto,2.45,0.03693,0.03515,0.4612,1.7574,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3158,1,2,desktop,auto,0.07,0.04409,0.04288,0.555,2.1439,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3159,18,4,mobile,e-commerce,2.89,0.04323,0.05345,0.5272,2.6724,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3160,9,4,mobile,telecom,1.5,0.04767,0.05532,0.5017,2.766,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3161,16,0,mobile,finance,0.08,0.03744,0.0485,0.3572,2.4251,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3162,0,1,mobile,telecom,2.31,0.04238,0.0446,0.4239,2.23,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3163,1,4,desktop,finance,17.24,0.03,0.04036,0.5576,2.0181,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3164,6,2,mobile,e-commerce,8.74,0.04574,0.05651,0.4836,2.8257,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3165,2,3,desktop,telecom,1.15,0.05246,0.05483,0.5631,2.7415,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3166,8,6,mobile,auto,0.67,0.04051,0.04313,0.5621,2.1563,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3167,0,1,desktop,e-commerce,4.3,0.05082,0.05476,0.3929,2.7381,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3168,1,4,desktop,telecom,1.42,0.05062,0.05336,0.6498,2.6678,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3169,14,4,mobile,e-commerce,12.23,0.03598,0.04883,0.3591,2.4417,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3170,4,0,desktop,auto,3.84,0.03889,0.03727,0.6291,1.8633,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3171,23,3,mobile,e-commerce,3.8,0.04533,0.05425,0.4828,2.7126,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3172,6,6,mobile,telecom,0.73,0.05103,0.05719,0.4035,2.8596,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3173,15,6,mobile,finance,4.79,0.02855,0.0407,0.532,2.0348,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3174,11,6,desktop,telecom,0.14,0.05389,0.05997,0.5871,2.9986,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3175,1,2,mobile,e-commerce,2.89,0.04953,0.05756,0.4157,2.878,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3176,16,4,tablet,auto,4.16,0.02471,0.02889,0.4817,1.4444,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3177,14,4,mobile,auto,6.68,0.0232,0.03179,0.5857,1.5897,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3178,2,6,mobile,finance,5.08,0.03418,0.04413,0.6089,2.2066,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3179,5,2,mobile,auto,6.77,0.03043,0.03437,0.3931,1.7184,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3180,15,6,desktop,telecom,3.5,0.0416,0.0447,0.5766,2.2351,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3181,15,2,mobile,e-commerce,13.63,0.03432,0.04493,0.3844,2.2466,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3182,22,0,desktop,auto,2.68,0.03414,0.03323,0.4159,1.6617,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3183,5,6,mobile,telecom,0.28,0.05203,0.05896,0.409,2.9482,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3184,16,1,mobile,e-commerce,0.02,0.05062,0.06175,0.5718,3.0875,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3185,23,5,desktop,e-commerce,3.28,0.05123,0.05798,0.4495,2.8988,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3186,1,6,mobile,finance,3.57,0.0353,0.04464,0.591,2.2318,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3187,23,3,mobile,finance,0.22,0.04008,0.051,0.5785,2.5502,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3188,0,6,mobile,finance,2.43,0.03614,0.04515,0.5918,2.2576,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3189,8,2,mobile,telecom,1.08,0.04948,0.05529,0.4089,2.7643,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3190,15,1,mobile,e-commerce,11.85,0.03515,0.04479,0.466,2.2396,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3191,8,3,mobile,e-commerce,2.34,0.05365,0.0667,0.5458,3.335,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3192,0,1,mobile,finance,5.29,0.0314,0.04002,0.5105,2.0009,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3193,0,4,mobile,auto,3.57,0.03001,0.03438,0.5656,1.7192,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3194,18,6,mobile,telecom,1.78,0.0385,0.04317,0.3751,2.1587,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3195,19,4,mobile,e-commerce,19.87,0.03134,0.04258,0.475,2.129,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3196,12,1,desktop,auto,6.68,0.0307,0.03278,0.5387,1.6392,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3197,22,0,tablet,finance,10.16,0.02418,0.03258,0.4333,1.6288,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3198,3,5,tablet,finance,7.75,0.03215,0.04044,0.3971,2.022,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3199,12,3,desktop,auto,1.43,0.03931,0.04029,0.5095,2.0145,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3200,14,4,mobile,telecom,8.07,0.03182,0.04093,0.5464,2.0464,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3201,3,6,tablet,telecom,3.27,0.04407,0.04376,0.577,2.1881,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3202,2,0,desktop,telecom,4.08,0.04667,0.04699,0.5783,2.3493,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3203,3,4,mobile,finance,2.57,0.03939,0.05013,0.6241,2.5063,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3204,23,5,mobile,finance,14.4,0.02326,0.03694,0.2859,1.8472,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3205,23,3,mobile,auto,3.34,0.02912,0.03307,0.4039,1.6535,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3206,13,3,desktop,telecom,4.0,0.043,0.047,0.4888,2.3499,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3207,12,4,desktop,e-commerce,4.92,0.04991,0.06007,0.5244,3.0035,False,0.0,False,0.0,0,0,1.0,0.15,0.0
3208,17,5,mobile,auto,15.81,0.01526,0.02673,0.3567,1.3365,False,0.0,False,0.0,0,0,1.0,0.15,0.0
